AtmoSud

Conditions Générales d'utilisation: 

 Diffusion libre pour une réutilisation ultérieure des données dans les conditions ci-dessous : 
 – Toute utilisation partielle ou totale de ces données doit faire référence à AtmoSud en terme de "AtmoSud - Inventaire énergétique et d'émissions de polluants et gaz à effet de serre". 
 – Données non rediffusées en cas de modification ultérieure des données. 
 
 Les données contenues dans ce document restent la propriété d'AtmoSud.
 AtmoSud peut rediffuser ce document à d'autres destinataires. 

"Année","Entité administrative","Activité","Energie","Variable","Valeur","Unite"
"2007","BARCILLONNETTE (05)","Tous secteurs","Toutes énergies","prg100.3ges","1423080.5","kg"
"2007","BARGÈME (83)","Tous secteurs","Toutes énergies","prg100.3ges","3638342.8","kg"
"2007","BARGEMON (83)","Tous secteurs","Toutes énergies","prg100.3ges","4971213.1","kg"
"2007","BARJOLS (83)","Tous secteurs","Toutes énergies","prg100.3ges","9058544.8","kg"
"2007","BARLES (04)","Tous secteurs","Toutes énergies","prg100.3ges","1656474.2","kg"
"2007","BARRAS (04)","Tous secteurs","Toutes énergies","prg100.3ges","3960765.4","kg"
"2007","BARRÊME (04)","Tous secteurs","Toutes énergies","prg100.3ges","5950654.2","kg"
"2007","BARRET-SUR-MÉOUGE (05)","Tous secteurs","Toutes énergies","prg100.3ges","1081094.9","kg"
"2007","BAUDINARD-SUR-VERDON (83)","Tous secteurs","Toutes énergies","prg100.3ges","1240135.4","kg"
"2007","BAUDUEN (83)","Tous secteurs","Toutes énergies","prg100.3ges","4084609.1","kg"
"2007","BAYONS (04)","Tous secteurs","Toutes énergies","prg100.3ges","3107691.2","kg"
"2007","BEAUJEU (04)","Tous secteurs","Toutes énergies","prg100.3ges","2666076.4","kg"
"2007","BEAULIEU-SUR-MER (06)","Tous secteurs","Toutes énergies","prg100.3ges","11205911.8","kg"
"2007","BEAUMES-DE-VENISE (84)","Tous secteurs","Toutes énergies","prg100.3ges","9363100.0","kg"
"2007","BEAUMETTES (84)","Tous secteurs","Toutes énergies","prg100.3ges","3847633.9","kg"
"2007","BEAUMONT-DE-PERTUIS (84)","Tous secteurs","Toutes énergies","prg100.3ges","8880403.3","kg"
"2007","BEAUMONT-DU-VENTOUX (84)","Tous secteurs","Toutes énergies","prg100.3ges","2356560.3","kg"
"2007","BEAURECUEIL (13)","Tous secteurs","Toutes énergies","prg100.3ges","1759692.0","kg"
"2007","BEAUSOLEIL (06)","Tous secteurs","Toutes énergies","prg100.3ges","47478796.8","kg"
"2007","BEAUVEZER (04)","Tous secteurs","Toutes énergies","prg100.3ges","2144571.9","kg"
